answer,rt,expName,participant,contrast,language,item,experimentType,word,contrast_location,moras,prof
1,0.48466301,abx,l2_3,a,l2,60,presential ,NIhon,1,3,N2
0,0.535650969,abx,l2_3,v,l2,61,presential ,sayuu,1,3,N2
1,0.85198617,abx,l2_3,a,l2,62,presential ,Ichi,1,2,N2
1,1.05239296,abx,l2_3,v,l2,63,presential ,ise,1,2,N2
1,0.850870848,abx,l2_3,s,l2,64,presential ,gakkou,1,4,N2
1,0.652017117,abx,l2_3,s,l2,65,presential ,gamu,1,2,N2
1,0.752923012,abx,l2_3,v,l2,66,presential ,seto,1,2,N2
1,0.868678093,abx,l2_3,v,l2,67,presential ,rubii,2,3,N2
1,0.669230223,abx,l2_3,a,l2,68,presential ,KAeru,1,3,N2
1,0.701017857,abx,l2_3,s,l2,69,presential ,kantan,1,4,N2
1,0.751435041,abx,l2_3,v,l2,70,presential ,kato,2,2,N2
1,0.668416023,abx,l2_3,s,l2,71,presential ,kamu,1,2,N2
1,0.784945965,abx,l2_3,a,l2,72,presential ,kuRASU,2,3,N2
1,0.768029928,abx,l2_3,s,l2,73,presential ,genkou,1,4,N2
1,0.835277081,abx,l2_3,a,l2,74,presential ,KUrasu,1,3,N2
1,0.634276152,abx,l2_3,v,l2,75,presential ,ise,2,2,N2
1,0.701795101,abx,l2_3,a,l2,76,presential ,NIhon,1,3,N2
1,0.83474803,abx,l2_3,s,l2,77,presential ,kankoku,1,4,N2
1,0.619231939,abx,l2_3,a,l2,78,presential ,kaMI,2,2,N2
1,0.901349068,abx,l2_3,s,l2,79,presential ,kaki,1,2,N2
1,0.835602999,abx,l2_3,v,l2,80,presential ,tousho,1,3,N2
1,0.96781683,abx,l2_3,v,l2,81,presential ,tosho,1,2,N2
1,1.118044138,abx,l2_3,a,l2,82,presential ,KAmi,1,2,N2
1,1.102875948,abx,l2_3,v,l2,83,presential ,seto,1,2,N2
1,1.235031843,abx,l2_3,s,l2,84,presential ,karasu,1,3,N2
1,0.918220043,abx,l2_3,v,l2,85,presential ,katou,2,3,N2
1,1.13437891,abx,l2_3,a,l2,86,presential ,HAshi,2,2,N2
1,0.801094055,abx,l2_3,v,l2,87,presential ,rika,2,2,N2
0,1.069491863,abx,l2_3,v,l2,88,presential ,rubii,2,3,N2
1,1.018918991,abx,l2_3,a,l2,89,presential ,Ishi,1,2,N2
1,1.067851067,abx,l2_3,v,l2,90,presential ,kado,1,2,N2
1,1.267271042,abx,l2_3,s,l2,91,presential ,kangoku,1,4,N2
1,1.268728971,abx,l2_3,s,l2,92,presential ,kakkou,1,4,N2
1,0.934617043,abx,l2_3,v,l2,93,presential ,rikaa,2,3,N2
1,1.018854856,abx,l2_3,s,l2,94,presential ,kankoku,1,4,N2
1,1.085967064,abx,l2_3,v,l2,95,presential ,sayuu,2,3,N2
1,1.185997963,abx,l2_3,a,l2,96,presential ,iSHI,2,2,N2
1,1.234411001,abx,l2_3,v,l2,97,presential ,isei,2,3,N2
1,0.951309919,abx,l2_3,a,l2,98,presential ,Ishi,1,2,N2
1,0.902290106,abx,l2_3,a,l2,99,presential ,SAke,1,2,N2
1,1.268926144,abx,l2_3,a,l2,100,presential ,Ame,2,2,N2
1,1.000579119,abx,l2_3,s,l2,101,presential ,kantan,1,4,N2
1,1.051603079,abx,l2_3,a,l2,102,presential ,KAeru,1,3,N2
1,1.201488972,abx,l2_3,v,l2,103,presential ,tousho,1,3,N2
1,1.185850859,abx,l2_3,s,l2,104,presential ,kaikoku,1,4,N2
1,1.118637085,abx,l2_3,a,l2,105,presential ,Ichi,1,2,N2
1,1.150715828,abx,l2_3,v,l2,106,presential ,isei,2,3,N2
1,1.068142176,abx,l2_3,a,l2,107,presential ,Oku,1,2,N2
1,0.968107939,abx,l2_3,v,l2,108,presential ,sayu,2,2,N2
1,0.818915129,abx,l2_3,v,l2,109,presential ,biru,1,2,N2
1,0.885273933,abx,l2_3,v,l2,110,presential ,tosho,1,3,N2
1,0.91809392,abx,l2_3,s,l2,111,presential ,gakkou,1,4,N2
1,0.951587915,abx,l2_3,s,l2,112,presential ,karasu,1,3,N2
1,0.835771799,abx,l2_3,a,l2,113,presential ,niHON,2,3,N2
1,1.16860199,abx,l2_3,v,l2,114,presential ,kaado,1,3,N2
1,0.784558058,abx,l2_3,s,l2,115,presential ,kaado,1,3,N2
1,0.918195009,abx,l2_3,s,l2,116,presential ,kinkou,1,4,N2
1,0.967536926,abx,l2_3,s,l2,117,presential ,kangoku,1,4,N2
1,0.884918928,abx,l2_3,a,l2,118,presential ,haSHI,2,2,N2
1,0.951333046,abx,l2_3,v,l2,119,presential ,katou,2,3,N2
1,0.635729074,abx,l2_3,v,l2,120,presential ,kado,1,2,N2
